Timestamp,o pana e sitelen.,"sitelen li tan ala tan ma ilo kulupu? (ni li ken: ilo Discord, lipu Facebook, ilo Telegram, ilo YouTube).
tan la sina o sona e ni: seme li pana e sitelen lon tenpo seme?",o pana e nasin tawa sitelen lon ma,ni li tan ma seme?,ni li tan tenpo seme?,seme li sitelen e ni? o pana e nimi ona lon ma,tan li lon la o pana e nasin tan pi sitelen ni,sitelen li tan seme li lon nasin seme?,ni li tan tenpo seme?,seme li sitelen e ni? o pana e nimi ona,o pana e sitelen Lasina pi sitelen ni. nimi li lon poki nimi la o pana e kalama nimi.,sina wile toki ante la o toki!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variants used,,other variations
6/19/2024 14:04:49,https://drive.google.com/open?id=1cjgn9EP61N5Uci_So4khA1u28CD5jwRH,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1229729259187077191,Discord,4/16/2024,.hecko,,,,,"sina a li kepeken sitelen ""¿?"" li kepeken sitelen ""seme2"" li kepeken sitelen ""nimi2"" tan seme. 😛",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slash ""nimi"" is used 1 time.",,"Stacking and scaling is not used.
Te and to are used."
6/19/2024 14:05:50,https://drive.google.com/open?id=18U7M-6v_aECI5kLtJkONsjUi00RX5KsG,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1229751505825824828,Discord,4/16/2024,.hecko,,,,,kolo nanpa tu tu li pali e tomo ona kepeken seme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hyperrealistic ""kolo"" is used 1 time.",,Stacking and scaling is not used.
6/19/2024 14:09:35,https://drive.google.com/open?id=1pCJFkkAl8tYxt7CMzBw5OYr_0sVsjf3Y,tan (yes),https://discord.com/channels/301377942062366741/1217198133751316530/1230495231913234583,Discord,4/18/2024,.hecko,,,,,tenpo pimeja pini poka la mi SATOR AREPO TENET OPERA ROTAS e meli kili pi mama sina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venus ""meli"" is used 1 time.
Long pi is used 1 time.",,Stacking and scaling is not used.
6/19/2024 14:21:53,https://drive.google.com/open?id=1t_mwtGCp3AgcKSW0DDYILIqMlZoDFZny,ala (no),,,,,,"It is back and somewhat foreground text in a digital drawing. A poster, a busstop sign, and on a blue desk",6/18/2024,jan Majeka,"There is a digital drawing in 4 point perspective based on the Golden Spiral composition. The drawing's main focus is a mirror which takes up 2/3 showcasing a large part of an empty dark cool colored room. with nylon floors and a carpet. There is a girl as the main focus who is dressed in alternative or goth-like clothing (a black skirt with a 2nd semitransparent black skirt over it, a black belt, and multiple semi-see through tops layered on each other.) She is holding a phone which is creating an infinte mirror effect within the opened camera app.
Behind her is an obscured poster in Sitelen Pona saying ""o weka sama sitelen lon ma ko"" and on her desk is written ""ni li sitelen ala sitelen"" referecing her having drawn it on the desk with a marker to test if it writes on the desk. Outside of the mirror is a window showing a red and white bus and two buildings and a concret path with hedges at early dusk. In front of the bus but behind the hedges is a typical blue road sign that says ""ma tomo"" on the largest plate, and ""kekesan"" below it in white writting. Below the window is a small multi-leveled black metal nightstand, which is holding a 5 cent coin in the shape of the Sitelen Pona for mani, Toki Pona: The Language of Good, a typical black chocker, two tickets, a fuzzy worm on a string toy, and the all new DougDoug MugMug.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scribble ""sitelen"" is used 2 times.",,"Stacking and scaling is used.
Nasin Kalama Sitelen is used 1 time."
6/19/2024 14:27:56,https://drive.google.com/open?id=1MMblrllqdC651xyBT6rs3dLAbnHYXmfq,ala (no),,,,,,it appears as text over a digital drawing,11/21/2023,jan Majeka,"There is a girl with a dark complexion playing the electric guitar. She is looking down at the guitar while yellow lighting-bolts effects come out of it from where she is strumming. She is being showered in purple light causing most of her to be shrowded in darkness. Over top of the image is ""jan Lejona o""     ""o awen pona"" in Sitelen Pona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nasin Kalama Sitelen Pu is used.
6/19/2024 14:32:00,https://drive.google.com/open?id=1XoenPb1k5F-BDF4HeHFQzvpvo9Ejeaye,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",2/21/2024,jan Majeka,"On a page of graphpaper, jan Majeka has written out the final result of a trigonomatry Sine equation in Sitelen Pona. This was in supliment to her explaining how to figure this out in Toki Pona as a guide,",She planned on making more for Cos and Tan but she has yet to do any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stacking and scaling is used.
Nasin Kalama Sitelen Pu is used.
Te and to are used.
Su name shortening is used."
6/19/2024 14:37:26,https://drive.google.com/open?id=1ILJQCAMAqSnKNLHe2--5LqAYmnJRnYsi,ala (no),,,,,,Publication (professional or informal),12/31/2023,jan Majeka,"In the image is a set of handdrawn Sitelen Pona glyphs and stereotypes. jan Majeka wrote these out and stitched them together to create sentences she used as subtitles for her ""Storyteller Guilty Gear XRD -sign- | Toki Pona Subtitles | kalama musi pi jan pi toki toki"" video uploaded on Decemeber 31st 2023, her ""Subhuman Self Guilty Gear -Strive- | Toki Pona Subtitles | kalama musi「toki lape」"" and her soon to be released ""Big Blast Sonic Guilty Gear XRD -sign- | Toki Pona Subtitles | kalama musi 「wawa pi tenpo lili」""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heart ""wile"" is used 1 time.
Hand ""mute"" is used 1 time.
Loop ""seme"" is used 4 time.
Scribble ""sitelen"" is used 4 time.
Long pi is used 2 times.",,"Stacking and scaling is used.
Nasin Kalama Sitelen Pu.
! and interpunct is used.
Stacked/Scaled Nasin Kalama Siteln Pu is used."
6/19/2024 14:46:05,https://drive.google.com/open?id=1QUtvuf3gj8UFKpghcVYMtKyslKAP3z_1,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",9/14/2023,jan Majeka,"jan Majeka has written as the title for a Biology assignment ""sona sijelo  pi pali sona   #1,5    insa ilo sijelo kon"", a date ""tenpo: musi / sona   sike 2023"" (likely the beginning of the school year, musi being used as a reference to the Summer break and sona as a reference to the school year), and the subject marker ""sona sijelo"" to let her know that she is writting notes for Biologie because she had to use a couple of her notebooks for more than one subject. As a note she has written ""ilo insa sijelo kon li lukin e sike moku pi soweli insa"" (likely supposed to be ""lukin sama sike"" as she wrote this only a month into her Toki Pona learning). Underneath that she has written ""pali lili :"" (likely meaning assignments) with her answers to the assignment about smog and the atmosphere effecting the respetory system (ilo insa sijelo kon ""air-related inner body organs"").",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long pi is used 2 times.,,"Stacking and scaling is used.
: is used."
6/19/2024 14:52:43,https://drive.google.com/open?id=1nJfNEB3wKzT_Ykb4ZfrA90UUftFZdRH1,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",3/10/2024,jan Majeka,"She wrote in Sitelen Pona on the top left corner of the page to her Natuurkunde workbook 
""sewi linja anpa = tawa kama""
""sewi linja sewi = tawa kama ala""
""anpa linja anpa = tawa kama ala""
with an arrow above saying ""Dit werkt!"" in Dutch (""This works!""
This is ungrammatical akin to saying
""Positive connection Negative = bringing movement""
""Positive connection Positive =  no bringing movement""
""Negative connection Negative = no bringing movement""
This is a note explains the relationship between + and - charges when they are connected.",The electric termanology might not be correct because I (jan Majeka) only learned this stuff in Dutch and not English whoopsies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2024 14:59:32,https://drive.google.com/open?id=1QGhIZdKN9paeIrgO152BbazaoX4MSu8R,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",10/8/2023,jan Majeka,"jan Majeka has written here on the first two lines of a college rule notebook ""e waso nasa    ni li mi    kalama musi olin    mi o tawa  (awen)   tawa sina    ike li suli ala"" which is a crude translation of the first line of the chorus of Disaster of Passion by Guilty Gear. Below it is an early crude translation of the first chorus of Storyteller by Guilty Gear, 
""Wa·o·o   ala li suli e seme
 Wa·o·o   ike li suli e seme
ni li suli ala suli         o   jan pi sona pana
ni li suli ala a             kalama musi mi li weka pona ala
                                                                             ala e pona""
Below it, written likely some time after, is the proper translation she figured out a  couple days later,
""ala li suli seme     jan pi toki toki
ike li suli seme""

Written frantically on the side is 
""o moli e mi
e mun sulli
e musi a!

o mun suli lon sewi pimeja""

Above this is a missing persons poster with ""jan weka"" written under a darkly lit drawing of a missing person.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loop ""seme"" is used 2 times.
Long pi is used 2 times.
",,"Mixed stacking and scaling.
Nasin Kalama Sitelen Pu is used."
6/19/2024 15:05:09,https://drive.google.com/open?id=1l_YJNri-vdWrjFiFtXwpcaOhzRAQkzHZ,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",10/20/2023,jan Majeka,"In blue pen, is the first verse of Storyteller by Guilty Gear written in Sitelen Pona.
""tenpo suno la o pilin pona     tenpo mun la o pilin pona    lawa mi li pakala ala la mi toki e ni     o waso pi kon tawa pi telo suli     o mun suli lon sewi pimeja     tenpo ale la o pilin e ni     o esun e olin ona     nasin ni li pana e pilin pona     mi mute li sona e nasin ni     isipin pini li suli ala"" ","This is an earlier version likely probably made around late October due to the translation being in it's final form except for the lines ""lawa mi li pakala ala la mi toki e ni"" and ""tenpo ale la o pilin e ni"" and ""mi mute li sona e nasin ni"" and ""o esun e olin ona""(which was changed last moment before she uploaded the full final translation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long pi is used 2 times.,,Stacking and scaling is used.
6/19/2024 15:10:31,https://drive.google.com/open?id=1RVjl3U0dWTV8UXBTy_iIo29k66cBnmQa,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",11/20/2023,jan Majeka,"In the photo are 3 diagrams of different filtering techniques. In the top left is distilling, where the dirt is shown with ma acting as a pictogram instead of saying dirt/aard, and telo for water. In the top right is filtering, with ma being again a pictogram in place of dirt/aard. On the bottom center is extraheren, lete is being used as a pictogram for sugar, ma for dirt/aard residue and telo for water.",idk if this counts or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2024 15:14:44,https://drive.google.com/open?id=1U8k_t-kXBfKvq7NgBsJeN_3-OlRh1sVw,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",8/31/2023,jan Majeka,"jan Majeka writes in her notes for a Natuurkunde lession she has written as a subject marker (as she does for all of her notes) sona ale ""universe knowledge"". She is writting down the explaination and diagrams for how reflects work. jan is being used as a pictogram for a person and seli for a lightsource in her notes diagram of how light rays work with half and core shadows. She also has written on the side of her notes ""lipu kama sona!"" (mistakingly missing a pi) and below it ""(ilo pi tomo sona kama).",idk if this counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long pi is used 1 time.,,"Mixed stacking and scaling.
! and () are used."
6/19/2024 15:18:31,https://drive.google.com/open?id=1OiVy4sLTUBGjYFKdG4WnF4qm-fbF7xUj,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",3/20/2024,jan Majeka,"jan Majeka has frantically scribbed her thoughts and frusteration and confusion about what she is learnign in biology. She has written in the top left corner ""mi lon ala lon anu seme"" below that ""o sona e ni"" to the left of the diagram of some animal's urinary track ""SEME A????"" relating to some pouch that she still doesn't know what it is, and ""ni li suli ike a  .   o moli e mi"" below the diagram.",???? It was likr for a kangeroo or something Idk what it is????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loop ""seme"" is used 2 times.",,
6/19/2024 15:22:36,https://drive.google.com/open?id=1TsSqaKdRvCUxsNnC3LAlGX0fnsThNn_0,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",12/10/2023,jan Majeka,"jan Majeka has written ""a a a! ilo tomo tawa sina li kama lon tenpo lili luka luka luka luka. tenpo ni la sina li awen lon poka mi
mi o olin e awen pi poka sina lon tenpo ale"" which is an early version of her translation of a recount of an interaction she had with her best friend.

Below it is a the same passage but in stacked and scaled Sitelen pona.

Below that is ""nimi sina li pana e pilin    o toki pona tawa jan   o pana e olin e pona""",I already submitted the final version of this in a different sp media form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hand ""mute"" is used 1 time.
Long pi is used 1 time.",,"Mixed stacking and scaling.
: is used
"" "" are used."
6/20/2024 17:02:05,https://drive.google.com/open?id=17mMnWrCmkyEFOiuxCy0xtw7HI1Ukh00O,ala (no),,,,,,"Personal writing (journal, postcard, etc.)",6/10/2024,jan Majeka,"There is a wide rule spiral notebook with Sitelen Pona. The first two lines are identical though one is more neatly written. It says 
""jan A o! sina pakala ala! tenpo pini la mi pilin ike tan ike pi pakala sina..."" 
Below that it says off to the side ""sina ike ala a""
Below that it says ""pakala sina""
Beside that it says ""toki a!"" ""seme li lon"" and further right ""tenpo ni la mi ala"" and even further left ""mi sona ala e nasin pona pi open toki""

Below that is the beginning of the chorus to Storyteller by Guilty Gear
Below that is ""sina sona ala sona"" and further down ""mi wile a!"" which is udnerline.
Next to that is the sentence
""tenpo ale la kepeken pi suli nanpa suli li nasa ike tawa mi
mi wile e kepeken pona ona sama kepeken pi ilo nanpa luka
pona la tenpo ni la ni li lon tan ni
kepeken pi ilo nanpa luka li nasa ike tawa mi lon tenpo ni""

Next to that is a sick ass pencil sketch of Sol Badguy as featured in Guilty Gear XRD with jan Ike Suno (Sol Badguy) below him in Sitelen Pona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heart ""wile"" is used 2 times.
Loop ""seme"" is used 1 time.
Long pi is used 4 times.",,"Stacking and scaling is used.
! [ ] and interpunct are used.
Nasin Kalama Sitelen is used.
Nasin Kalama Sitelen Pu is used."
6/20/2024 20:52:18,https://drive.google.com/open?id=1lfcGhO_7LDBJMlm0BJsSv-u_Ji7unDM8,tan (yes),https://www.tumblr.com/lu9/741568848049930240,Tumblr,2/6/2024,lu9,,,,,"jan lawa
luka tu mama suli
nena open li kepeken!
tenpo sike nanpa luka luka luka tu tu ale mute mute mute mute luka luka tu
wan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stacking and scaling is not used.
! is used."
6/20/2024 20:57:03,https://drive.google.com/open?id=1QQMAKDu8yWh2IHOaei-dgpgasbDAL039,tan (yes),https://luenkel.tumblr.com/post/719938408604205056/kala-tonsi-mi-li-kama-sona-e-sitelen-pona-suwi-a,Tumblr,6/12/2023,luenkel,,,,,"o awen e mi
mi moli a
mi ken kon lon telo taso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking and scaling is not used.
6/20/2024 21:06:18,https://drive.google.com/open?id=1bpkh5EVjzVmblXNpD7AI7TclhYZdO75v,tan (yes),https://www.tumblr.com/aszles/742187753208528896/chapter-154-spoilers-below-the-cut,Tumblr,2/13/2024,aszles,,,,,sina toki e seme...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. is used.
6/20/2024 21:33:55,https://drive.google.com/open?id=1Aph0bBKoMm8eIlWcIlFbhmI30sY1PuHc,tan (yes),https://www.tumblr.com/citrucee/714159813004771328/o-utala-ala,Tumblr,4/9/2023,citrucee,,,,,"mi olin e utala
sina wile toki e ""utala musi"" anu seme
ni ala
utala mi li musi ala tawa ona mute
taso ni li musi tawa mi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Emitters ""olin"" is used 1 time.",,Cartouche is used for some sort of emphasis.
6/20/2024 21:38:35,https://drive.google.com/open?id=1noJKPnhqGvom50rZNqhL8fDPRrTtb8It,tan (yes),https://www.tumblr.com/melikala/735416428490014720/mi-sona-ala-mi-sona,Tumblr,11/30/2023,melikala,,,,,"mi sona ala
mi sona","nimi tu li ken ""mi sona oke"", taso mi pana e ""mi sona"" tan ni: sitelen Lasina pi sitelen ni anpa li jo ala e nimi oke.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking and scaling is used.
6/20/2024 21:41:11,https://drive.google.com/open?id=1Kpsov_KWSyOcdr2zambl-3VWJH7kEBiO,tan (yes),https://www.tumblr.com/jan-kusatowi/705184070958727168/tenpo-sike-suno-kama-la-o-musi-o-pona-a,Tumblr,12/31/2022,jan-kusatowi,,,,,"tenpo sike suno kama la, o musi o pona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", and . are used.
Stacking and scaling is not used."
6/20/2024 21:44:50,https://drive.google.com/open?id=1UtjpD0NBs55T8uAuqq4isS_K2l1x5018,tan (yes),https://www.tumblr.com/jan-makusi/710402558580195328/jelo-li-pona-tawa-mi,Tumblr,2/27/2023,jan-makusi,,,,,"tomo lili mi li jo e sinpin jelo
jelo li ike tawa mi lon weka tenpo
mi weka e jelo
li pana e laso tawa sinpin mi
mi pilin pona
mi pilin ike
tenpo suli en jan pona li jo e len jelo 
jelo li pona tawa mi lon tenpo ni
jelo li kule pi pona
en mi jo ala e ijo jelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long pi is used 1 time.
Long tawa is used 3 times.",,Mixed stacking and scaling.
6/20/2024 21:51:10,https://drive.google.com/open?id=1HLMGnL6wT-78FCZ0TT1-KD6M9MA84HrQ,tan (yes),https://www.tumblr.com/gltzgghln/723186624670957568/sketches-of-buildings-and-houses-found-in-kulupu,Tumblr,7/18/2023,gltzgghln,,,,,"tomo supa
 tomo kiwen
tomo ko
pimeja kalama utala
pimeja moli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking and scaling is not used.
6/20/2024 21:53:31,https://drive.google.com/open?id=1rTRlXYpfn_NWuOkcY0ZFo6zfwO2kZjyM,tan (yes),https://www.tumblr.com/jan-kusatowi/709847350433218560,Tumblr,2/21/2023,jan-kusatowi,,,,,ilo tawa moku linja li epiku tawa mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed stacking and scaling.
6/20/2024 21:57:25,https://drive.google.com/open?id=1gaJJ1MbktY1_XgfX--Z_fYwyzQ_xp5yp,tan (yes),https://www.tumblr.com/rye-in-a-coat/698225451314921472/a-quote-from-certain-fanfic-lyrics-from-an-80s,Tumblr,10/15/2022,rye-in-a-coat,,,,,"jan ale li kama lon nasin ni: ona li ken tawa li ken pali. jan ali li kama lon sama.
jan ale li jo e ken pi pilin suli. jan ale li ken pali e wile pona ona
jan ale li jo e ken pi sona pona li ken pi pali pona. jan ale li wile pali nasin ni: ona li jan pona pi ante. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long pi is used 4 times.,,"Mixed stacking and scaling.
: and . are used."
6/20/2024 22:05:47,https://drive.google.com/open?id=159O9ZA38V_ynW48qOByhC4DrBdRpOTLU,tan (yes),https://www.tumblr.com/indictivity-mu/714164304582180864/yeahg-more-chonny-jash-toki-pona-fanart-also,Tumblr,4/9/2023,indictivity-mu,,,,,ali li pimeja li meso li walo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ante ""meso"" is used 1 time.",,
6/20/2024 22:11:11,https://drive.google.com/open?id=1BAPIm0qZ_1YsUs_zWX7cWvNf_NpRHbmz,tan (yes),https://www.tumblr.com/calculovo/740772589679656960/ku-suli-tierlist,Tumblr,1/28/2024,calculovo,,,,,"monsuta tonsi kijetesantakalu meso
kipisi leko
jasima soko
kin lanpan misikeke sin
oko ku n
epiku kokosila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Upvote ""epiku"" is used 1 time.
",,
6/20/2024 22:13:50,https://drive.google.com/open?id=1Wy3cJF69crUXV8ebMPQduFqIKbi3-GVl,tan (yes),https://www.tumblr.com/fae-sleepy/703465766184534016/new-me-here-queer-full-of-fear-heres-some,Tumblr,12/12/2022,fae-sleepy,,,,,"o o o
sina pilin ala pilin e ni.
sina ken anpa e mi
o lukin a
ni li ilo pakala pi ilo sona a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long pi is not used.,,Mixed stacking and scaling
